shapeA|shapeB|x_f|y_f|k_f|time_taken
(500, 784)|(784, 256)|7|3|16|0.23987317085266113
(500, 784)|(784, 256)|7|4|5|0.2984602451324463
(500, 784)|(784, 256)|7|4|6|0.2681751251220703
(500, 784)|(784, 256)|7|4|7|0.3359377384185791
(500, 784)|(784, 256)|7|4|8|0.3743553161621094
(500, 784)|(784, 256)|7|4|9|0.38282084465026855
(500, 784)|(784, 256)|7|4|10|0.425015926361084
(500, 784)|(784, 256)|7|4|11|0.35097193717956543
(500, 784)|(784, 256)|7|4|12|0.26691412925720215
(500, 784)|(784, 256)|7|4|13|0.3121180534362793
(500, 784)|(784, 256)|7|4|14|0.3144650459289551
(500, 784)|(784, 256)|7|4|15|0.45047521591186523
(500, 784)|(784, 256)|7|4|16|0.28884005546569824
(500, 784)|(784, 256)|7|5|6|0.30005717277526855
(500, 784)|(784, 256)|7|5|7|0.2992129325866699
(500, 784)|(784, 256)|7|5|8|0.323742151260376
(500, 784)|(784, 256)|7|5|9|0.3169867992401123
(500, 784)|(784, 256)|7|5|10|0.36154699325561523
(500, 784)|(784, 256)|7|5|11|0.3131840229034424
(500, 784)|(784, 256)|7|5|12|0.29782581329345703
(500, 784)|(784, 256)|7|5|13|0.35333776473999023
(500, 784)|(784, 256)|7|5|14|0.273043155670166
(500, 784)|(784, 256)|7|5|15|0.2941901683807373
(500, 784)|(784, 256)|7|5|16|0.32216429710388184
(500, 784)|(784, 256)|7|6|7|0.31717920303344727
(500, 784)|(784, 256)|7|6|8|0.3062608242034912
(500, 784)|(784, 256)|7|6|9|0.31546592712402344
(500, 784)|(784, 256)|7|6|10|0.36029601097106934
(500, 784)|(784, 256)|7|6|11|0.24191784858703613
(500, 784)|(784, 256)|7|6|12|0.3058030605316162
(500, 784)|(784, 256)|7|6|13|0.2726171016693115
(500, 784)|(784, 256)|7|6|14|0.2721731662750244
(500, 784)|(784, 256)|7|6|15|0.27633190155029297
(500, 784)|(784, 256)|7|6|16|0.28203797340393066
(500, 784)|(784, 256)|8|1|2|0.2951631546020508
(500, 784)|(784, 256)|8|1|3|0.2568211555480957
(500, 784)|(784, 256)|8|1|4|0.28092217445373535
(500, 784)|(784, 256)|8|1|5|0.27156901359558105
(500, 784)|(784, 256)|8|1|6|0.3147130012512207
(500, 784)|(784, 256)|8|1|7|0.37481093406677246
(500, 784)|(784, 256)|8|1|8|0.29042696952819824
(500, 784)|(784, 256)|8|1|9|0.35811281204223633
(500, 784)|(784, 256)|8|1|10|0.3438751697540283
(500, 784)|(784, 256)|8|1|11|0.361400842666626
(500, 784)|(784, 256)|8|1|12|0.3847019672393799
(500, 784)|(784, 256)|8|1|13|0.2652299404144287
(500, 784)|(784, 256)|8|1|14|0.3087179660797119
(500, 784)|(784, 256)|8|1|15|0.2539339065551758
(500, 784)|(784, 256)|8|1|16|0.21868205070495605
(500, 784)|(784, 256)|8|2|3|0.23425507545471191
(500, 784)|(784, 256)|8|2|4|0.33774304389953613
(500, 784)|(784, 256)|8|2|5|0.28026509284973145
(500, 784)|(784, 256)|8|2|6|0.3571319580078125
(500, 784)|(784, 256)|8|2|7|0.2992067337036133
(500, 784)|(784, 256)|8|2|8|0.2825431823730469
(500, 784)|(784, 256)|8|2|9|0.33477234840393066
(500, 784)|(784, 256)|8|2|10|0.41147875785827637
(500, 784)|(784, 256)|8|2|11|0.2930929660797119
(500, 784)|(784, 256)|8|2|12|0.2874152660369873
(500, 784)|(784, 256)|8|2|13|0.33727598190307617
(500, 784)|(784, 256)|8|2|14|0.2700037956237793
(500, 784)|(784, 256)|8|2|15|0.30467820167541504
(500, 784)|(784, 256)|8|2|16|0.3391091823577881
(500, 784)|(784, 256)|8|3|4|0.3423159122467041
(500, 784)|(784, 256)|8|3|5|0.8831908702850342
(500, 784)|(784, 256)|8|3|6|0.3641188144683838
(500, 784)|(784, 256)|8|3|7|1.131058931350708
(500, 784)|(784, 256)|8|3|8|0.39348506927490234
(500, 784)|(784, 256)|8|3|9|0.38591718673706055
(500, 784)|(784, 256)|8|3|10|0.4183659553527832
(500, 784)|(784, 256)|8|3|11|0.4143671989440918
(500, 784)|(784, 256)|8|3|12|0.7182168960571289
(500, 784)|(784, 256)|8|3|13|0.3849601745605469
(500, 784)|(784, 256)|8|3|14|0.38648080825805664
(500, 784)|(784, 256)|8|3|15|0.354414701461792
(500, 784)|(784, 256)|8|3|16|0.36829519271850586
(500, 784)|(784, 256)|8|4|5|0.31559181213378906
(500, 784)|(784, 256)|8|4|6|0.3393537998199463
(500, 784)|(784, 256)|8|4|7|0.37724900245666504
(500, 784)|(784, 256)|8|4|8|0.4194459915161133
(500, 784)|(784, 256)|8|4|9|0.344379186630249
(500, 784)|(784, 256)|8|4|10|0.3630688190460205
(500, 784)|(784, 256)|8|4|11|0.27321815490722656
(500, 784)|(784, 256)|8|4|12|0.3561222553253174
(500, 784)|(784, 256)|8|4|13|0.24186110496520996
(500, 784)|(784, 256)|8|4|14|0.2565298080444336
(500, 784)|(784, 256)|8|4|15|0.2512521743774414
(500, 784)|(784, 256)|8|4|16|0.2809748649597168
(500, 784)|(784, 256)|8|5|6|0.2861661911010742
(500, 784)|(784, 256)|8|5|7|0.5492727756500244
(500, 784)|(784, 256)|8|5|8|0.32131004333496094
