shapeA|shapeB|x_f|y_f|k_f|time_taken
(500, 784)|(784, 256)|5|4|19|0.3363971710205078
(500, 784)|(784, 256)|5|4|20|0.2517218589782715
(500, 784)|(784, 256)|5|4|21|0.35154104232788086
(500, 784)|(784, 256)|5|4|22|0.2535078525543213
(500, 784)|(784, 256)|5|4|23|0.3105170726776123
(500, 784)|(784, 256)|5|4|24|0.2579159736633301
(500, 784)|(784, 256)|5|4|25|0.29795408248901367
(500, 784)|(784, 256)|5|4|26|0.27033281326293945
(500, 784)|(784, 256)|5|4|27|0.31154799461364746
(500, 784)|(784, 256)|5|4|28|0.34137511253356934
(500, 784)|(784, 256)|5|4|29|0.31626081466674805
(500, 784)|(784, 256)|5|4|30|0.31246280670166016
(500, 784)|(784, 256)|5|4|31|0.3088340759277344
(500, 784)|(784, 256)|5|4|32|0.31708693504333496
(500, 784)|(784, 256)|6|1|2|0.29586291313171387
(500, 784)|(784, 256)|6|1|3|0.29807329177856445
(500, 784)|(784, 256)|6|1|4|0.2891409397125244
(500, 784)|(784, 256)|6|1|5|0.27263903617858887
(500, 784)|(784, 256)|6|1|6|0.2933330535888672
(500, 784)|(784, 256)|6|1|7|0.34673619270324707
(500, 784)|(784, 256)|6|1|8|0.27767491340637207
(500, 784)|(784, 256)|6|1|9|0.3447248935699463
(500, 784)|(784, 256)|6|1|10|0.3333718776702881
(500, 784)|(784, 256)|6|1|11|0.34735894203186035
(500, 784)|(784, 256)|6|1|12|0.3339991569519043
(500, 784)|(784, 256)|6|1|13|0.30692005157470703
(500, 784)|(784, 256)|6|1|14|0.2835547924041748
(500, 784)|(784, 256)|6|1|15|0.30591702461242676
(500, 784)|(784, 256)|6|1|16|0.3077881336212158
(500, 784)|(784, 256)|6|1|17|0.29245591163635254
(500, 784)|(784, 256)|6|1|18|0.2892448902130127
(500, 784)|(784, 256)|6|1|19|0.27150392532348633
(500, 784)|(784, 256)|6|1|20|0.3129231929779053
(500, 784)|(784, 256)|6|1|21|0.28915882110595703
(500, 784)|(784, 256)|6|1|22|0.28850889205932617
(500, 784)|(784, 256)|6|1|23|0.3305220603942871
(500, 784)|(784, 256)|6|1|24|0.2254321575164795
(500, 784)|(784, 256)|6|1|25|0.2646920680999756
(500, 784)|(784, 256)|6|1|26|0.22704696655273438
(500, 784)|(784, 256)|6|1|27|0.3171820640563965
(500, 784)|(784, 256)|6|1|28|0.31740689277648926
(500, 784)|(784, 256)|6|1|29|0.2437281608581543
(500, 784)|(784, 256)|6|1|30|0.3103358745574951
(500, 784)|(784, 256)|6|1|31|0.31247711181640625
(500, 784)|(784, 256)|6|1|32|0.3264150619506836
(500, 784)|(784, 256)|6|2|3|0.32337188720703125
(500, 784)|(784, 256)|6|2|4|0.2919280529022217
(500, 784)|(784, 256)|6|2|5|0.3282487392425537
(500, 784)|(784, 256)|6|2|6|0.3706068992614746
(500, 784)|(784, 256)|6|2|7|0.3124101161956787
(500, 784)|(784, 256)|6|2|8|0.3383138179779053
(500, 784)|(784, 256)|6|2|9|0.3921082019805908
(500, 784)|(784, 256)|6|2|10|0.3657808303833008
(500, 784)|(784, 256)|6|2|11|0.3068511486053467
(500, 784)|(784, 256)|6|2|12|0.2981290817260742
(500, 784)|(784, 256)|6|2|13|0.2712099552154541
(500, 784)|(784, 256)|6|2|14|0.31244802474975586
(500, 784)|(784, 256)|6|2|15|0.3206636905670166
(500, 784)|(784, 256)|6|2|16|0.28772616386413574
(500, 784)|(784, 256)|6|2|17|0.3149421215057373
(500, 784)|(784, 256)|6|2|18|0.3197178840637207
(500, 784)|(784, 256)|6|2|19|0.275097131729126
(500, 784)|(784, 256)|6|2|20|0.2533891201019287
(500, 784)|(784, 256)|6|2|21|0.36510419845581055
(500, 784)|(784, 256)|6|2|22|0.4631690979003906
(500, 784)|(784, 256)|6|2|23|0.29749560356140137
(500, 784)|(784, 256)|6|2|24|0.29764294624328613
(500, 784)|(784, 256)|6|2|25|0.2425217628479004
(500, 784)|(784, 256)|6|2|26|0.3002018928527832
(500, 784)|(784, 256)|6|2|27|0.29659199714660645
(500, 784)|(784, 256)|6|2|28|0.23223280906677246
(500, 784)|(784, 256)|6|2|29|0.31709909439086914
(500, 784)|(784, 256)|6|2|30|0.25937390327453613
(500, 784)|(784, 256)|6|2|31|0.2823002338409424
(500, 784)|(784, 256)|6|2|32|0.2962009906768799
(500, 784)|(784, 256)|6|3|4|0.357957124710083
(500, 784)|(784, 256)|6|3|5|0.3278820514678955
(500, 784)|(784, 256)|6|3|6|0.3232760429382324
(500, 784)|(784, 256)|6|3|7|0.3358480930328369
(500, 784)|(784, 256)|6|3|8|0.27084994316101074
(500, 784)|(784, 256)|6|3|9|0.398374080657959
(500, 784)|(784, 256)|6|3|10|0.2938239574432373
(500, 784)|(784, 256)|6|3|11|0.3452279567718506
(500, 784)|(784, 256)|6|3|12|0.3177151679992676
(500, 784)|(784, 256)|6|3|13|0.3442859649658203
(500, 784)|(784, 256)|6|3|14|0.3892369270324707
(500, 784)|(784, 256)|6|3|15|0.34206700325012207
(500, 784)|(784, 256)|6|3|16|0.34732818603515625
(500, 784)|(784, 256)|6|3|17|0.31474804878234863
(500, 784)|(784, 256)|6|3|18|0.3258056640625
(500, 784)|(784, 256)|6|3|19|0.3214390277862549
(500, 784)|(784, 256)|6|3|20|0.3082451820373535
(500, 784)|(784, 256)|6|3|21|0.3452420234680176
(500, 784)|(784, 256)|6|3|22|0.3297390937805176
(500, 784)|(784, 256)|6|3|23|0.33921098709106445
(500, 784)|(784, 256)|6|3|24|0.33716821670532227
(500, 784)|(784, 256)|6|3|25|0.3265538215637207
(500, 784)|(784, 256)|6|3|26|0.39122700691223145
(500, 784)|(784, 256)|6|3|27|0.39314770698547363
(500, 784)|(784, 256)|6|3|28|0.31812286376953125
(500, 784)|(784, 256)|6|3|29|0.3136110305786133
(500, 784)|(784, 256)|6|3|30|0.29337191581726074
(500, 784)|(784, 256)|6|3|31|0.3988070487976074
(500, 784)|(784, 256)|6|3|32|0.3266422748565674
(500, 784)|(784, 256)|6|4|5|0.31926512718200684
(500, 784)|(784, 256)|6|4|6|0.32561516761779785
(500, 784)|(784, 256)|6|4|7|0.34449100494384766
(500, 784)|(784, 256)|6|4|8|0.3408992290496826
(500, 784)|(784, 256)|6|4|9|0.3426389694213867
(500, 784)|(784, 256)|6|4|10|0.44225311279296875
(500, 784)|(784, 256)|6|4|11|0.24526619911193848
(500, 784)|(784, 256)|6|4|12|0.3439469337463379
(500, 784)|(784, 256)|6|4|13|0.3555159568786621
(500, 784)|(784, 256)|6|4|14|0.3148329257965088
(500, 784)|(784, 256)|6|4|15|0.3233952522277832
(500, 784)|(784, 256)|6|4|16|0.343674898147583
(500, 784)|(784, 256)|6|4|17|0.2266559600830078
(500, 784)|(784, 256)|6|4|18|0.28760194778442383
(500, 784)|(784, 256)|6|4|19|0.29180169105529785
(500, 784)|(784, 256)|6|4|20|0.3440849781036377
(500, 784)|(784, 256)|6|4|21|0.28179001808166504
(500, 784)|(784, 256)|6|4|22|0.30730295181274414
(500, 784)|(784, 256)|6|4|23|0.3164980411529541
(500, 784)|(784, 256)|6|4|24|0.34428906440734863
(500, 784)|(784, 256)|6|4|25|0.3205289840698242
(500, 784)|(784, 256)|6|4|26|0.3152809143066406
(500, 784)|(784, 256)|6|4|27|0.34671878814697266
(500, 784)|(784, 256)|6|4|28|0.28238797187805176
(500, 784)|(784, 256)|6|4|29|0.27248692512512207
(500, 784)|(784, 256)|6|4|30|0.33012986183166504
(500, 784)|(784, 256)|6|4|31|0.2654438018798828
(500, 784)|(784, 256)|6|4|32|0.32171106338500977
(500, 784)|(784, 256)|6|5|6|0.44725704193115234
(500, 784)|(784, 256)|6|5|7|0.39336299896240234
(500, 784)|(784, 256)|6|5|8|0.3894169330596924
(500, 784)|(784, 256)|6|5|9|0.413909912109375
(500, 784)|(784, 256)|6|5|10|0.4306821823120117
(500, 784)|(784, 256)|6|5|11|0.40225887298583984
(500, 784)|(784, 256)|6|5|12|0.37626194953918457
(500, 784)|(784, 256)|6|5|13|0.32038283348083496
(500, 784)|(784, 256)|6|5|14|0.3717207908630371
(500, 784)|(784, 256)|6|5|15|0.3849489688873291
(500, 784)|(784, 256)|6|5|16|0.3655123710632324
(500, 784)|(784, 256)|6|5|17|0.3903050422668457
(500, 784)|(784, 256)|6|5|18|0.43734288215637207
(500, 784)|(784, 256)|6|5|19|0.368333101272583
(500, 784)|(784, 256)|6|5|20|0.41594409942626953
(500, 784)|(784, 256)|6|5|21|0.42477917671203613
(500, 784)|(784, 256)|6|5|22|0.30110812187194824
(500, 784)|(784, 256)|6|5|23|0.31004810333251953
(500, 784)|(784, 256)|6|5|24|0.40067195892333984
(500, 784)|(784, 256)|6|5|25|0.42150187492370605
(500, 784)|(784, 256)|6|5|26|0.4090590476989746
(500, 784)|(784, 256)|6|5|27|0.3054368495941162
(500, 784)|(784, 256)|6|5|28|0.37436509132385254
(500, 784)|(784, 256)|6|5|29|0.4223148822784424
(500, 784)|(784, 256)|6|5|30|0.32564592361450195
(500, 784)|(784, 256)|6|5|31|0.34705066680908203
(500, 784)|(784, 256)|6|5|32|0.41469287872314453
(500, 784)|(784, 256)|7|1|2|0.32276296615600586
(500, 784)|(784, 256)|7|1|3|0.22694993019104004
(500, 784)|(784, 256)|7|1|4|0.2582108974456787
(500, 784)|(784, 256)|7|1|5|0.32321619987487793
(500, 784)|(784, 256)|7|1|6|0.2983682155609131
(500, 784)|(784, 256)|7|1|7|0.31770896911621094
(500, 784)|(784, 256)|7|1|8|0.2701289653778076
(500, 784)|(784, 256)|7|1|9|0.2822730541229248
(500, 784)|(784, 256)|7|1|10|0.32958507537841797
(500, 784)|(784, 256)|7|1|11|0.4101700782775879
(500, 784)|(784, 256)|7|1|12|0.41526079177856445
(500, 784)|(784, 256)|7|1|13|0.266664981842041
